Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
12/29/2021,GU,Guam,WPRO,0,15301,0,270
12/30/2021,GU,Guam,WPRO,51,15352,0,270
12/31/2021,GU,Guam,WPRO,0,15352,0,270
1/1/2021,GT,Guatemala,AMRO,846,138012,10,4813
1/2/2021,GT,Guatemala,AMRO,224,138236,7,4820
1/3/2021,GT,Guatemala,AMRO,80,138316,7,4827
1/4/2021,GT,Guatemala,AMRO,159,138475,6,4833
1/5/2021,GT,Guatemala,AMRO,181,138656,2,4835
1/6/2021,GT,Guatemala,AMRO,763,139419,24,4859
1/7/2021,GT,Guatemala,AMRO,783,140202,40,4899
1/8/2021,GT,Guatemala,AMRO,872,141074,29,4928
1/9/2021,GT,Guatemala,AMRO,990,142064,44,4972
1/10/2021,GT,Guatemala,AMRO,1063,143127,27,4999
1/11/2021,GT,Guatemala,AMRO,116,143243,26,5025
1/12/2021,GT,Guatemala,AMRO,733,143976,0,5025
1/13/2021,GT,Guatemala,AMRO,1028,145004,92,5117
1/14/2021,GT,Guatemala,AMRO,982,145986,0,5117
1/15/2021,GT,Guatemala,AMRO,951,146937,34,5151
1/16/2021,GT,Guatemala,AMRO,623,147560,26,5177
1/17/2021,GT,Guatemala,AMRO,1038,148598,43,5220
1/18/2021,GT,Guatemala,AMRO,290,148888,34,5254
1/19/2021,GT,Guatemala,AMRO,258,149146,24,5278
1/20/2021,GT,Guatemala,AMRO,1131,150277,35,5313
1/21/2021,GT,Guatemala,AMRO,1047,151324,30,5343
1/22/2021,GT,Guatemala,AMRO,1071,152395,46,5389
1/23/2021,GT,Guatemala,AMRO,561,152956,31,5420
1/24/2021,GT,Guatemala,AMRO,934,153890,36,5456
1/25/2021,GT,Guatemala,AMRO,322,154212,9,5465
1/26/2021,GT,Guatemala,AMRO,218,154430,4,5469
1/27/2021,GT,Guatemala,AMRO,1029,155459,17,5486
1/28/2021,GT,Guatemala,AMRO,1038,156497,27,5513
1/29/2021,GT,Guatemala,AMRO,1098,157595,30,5543
1/30/2021,GT,Guatemala,AMRO,741,158336,39,5582
1/31/2021,GT,Guatemala,AMRO,782,159118,36,5618
2/1/2021,GT,Guatemala,AMRO,386,159504,25,5643
